# SN       zcmb_lit   zcmb_nedhost +/-   zcmb_nedfinal +/- zflowcorrd   mJ    err  hostEBV dm15  HostGalaxy:Cluster            Hostmorph  morph   MW_AJ     K_J   Survey
SN2004eo   0.014734   0.014747 0.000070  0.014747 0.000070  0.015259  15.496 0.010  0.128  1.41  NGC6928                       SB(s)ab     2.5   0.075411 -0.0369  CSP
SN2005M    0.022972   0.025598 0.000083  0.025598 0.000083  0.025441  16.475 0.017  0.060  0.90  NGC2930                       S?          5.0   0.022113 -0.0548  CSP
SN2005el   0.014885   0.014894 0.000017  0.014894 0.000017  0.015044  15.438 0.007  0.015  1.34  NGC1819                       SB0         1.0   0.079137 -0.0412  CSP
SN2005kc   0.01389    0.013900 0.000087  0.013900 0.000087  0.014468  15.390 0.008  0.310  1.22  NGC7311                       Sab         2.5   0.092259 -0.0390  CSP
SN2005ki   0.02037    0.020384 0.000087  0.020384 0.000087  0.019887  16.111 0.014  0.016  1.27  NGC3332                       (R)SA0      1.0   0.021627 -0.0538  CSP
SN2006ax   0.017957   0.017969 0.000090  0.017969 0.000090  0.017908  15.719 0.010  0.016  1.00  NGC3663                       SA(rs)bc    3.5   0.033453 -0.0482  CSP
SN2006et   0.021178   0.021662 0.000163  0.021662 0.000163  0.022288  16.061 0.019  0.254  0.89  NGC232                        SB(r)a?     2.0   0.013365 -0.0450  CSP
SN2006hx   0.044404   0.044434 0.000113  0.043944 0.000073  0.044533  17.779 0.077  0.210  1.38  PGC73820:Abell168             S0          1.0   0.020736 -0.0889  CSP
SN2007S    0.015024   0.015034 0.000087  0.015034 0.000087  0.015244  15.346 0.018  0.478  0.77  UGC5378                       Sb          3.0   0.017901 -0.0405  CSP
SN2007as   0.017896   0.017909 0.000460  0.017909 0.000460  0.018486  15.864 0.016  0.050  1.14  PGC026840                     SB(rs)c     4.0   0.099711 -0.0430  CSP
SN2007ba   0.039055   0.039080 0.000100  0.036062 0.000304  0.035843  17.714 0.030  0.150  1.88  UGC9798:Abell2052             S0/a        1.5   0.025677 -0.0974  CSP
SN2007bd   0.031939   0.031849 0.000163  0.031849 0.000163  0.031624  17.105 0.028  0.058  1.10  UGC4455                       SB(r)a      2.0   0.023328 -0.0817  CSP
SN2007ca   0.01507    0.015080 0.000070  0.015080 0.000070  0.014471  15.568 0.006  0.350  0.90  MCG-02-34-61                  Sc          4.0   0.046170 -0.0408  CSP
SN2008bc   0.01507    0.015718 0.000127  0.015718 0.000127  0.015623  15.542 0.009  0.005  0.85  PGC90108                      S           2.0   0.182000 -0.0428  CSP
SN2008hv   0.013581   0.013589 0.000100  0.013589 0.000100  0.013816  15.213 0.019  0.074  1.25  NGC2765                       S0          1.0   0.022518 -0.0377  CSP
